"_type","email","source"
"EmailItem","dpo@rightmove.co.uk","http://www.rightmove.co.uk/this-site/privacy-policy.html"
"EmailItem","talk-to-us@rightmove.co.uk","http://www.rightmove.co.uk/this-site/privacy-policy.html"
"EmailItem","sold.prices@rightmove.co.uk","http://www.rightmove.co.uk/this-site/privacy-policy.html"
"EmailItem","dataquality@rightmove.co.uk","http://www.rightmove.co.uk/this-site/privacy-policy.html"
"EmailItem","info@tilestwra.com","http://www.tilestwra.com/privacy-policy/"
"EmailItem","legal@leafgroup.com","https://www.livestrong.com/privacy-policy/"
"EmailItem","legal@leafgroup.com","https://www.livestrong.com/privacy-policy/"
"EmailItem","dataprotection@plexapp.com","https://www.plex.tv/about/privacy-legal/"
"EmailItem","kundenkontakt@ml.uniqlo.eu","https://www.uniqlo.com/de/de/company/privacy_policy.html"
"EmailItem","privacy@oup.com","https://global.oup.com/privacy?cc=de"
"EmailItem","privacy@oup.com","https://global.oup.com/privacy?cc=de"
"EmailItem","privacy@xiaomi.com","http://www.miui.com/res/doc/privacy/cn.html"
"EmailItem","dpo@xiaomi.com","http://www.miui.com/res/doc/privacy/cn.html"
"EmailItem","copyright@thumbzilla.com","https://www.thumbzilla.com/information"
"EmailItem","support@pornhub.com","https://www.thumbzilla.com/information"
"EmailItem","legal@pornhub.com","https://www.thumbzilla.com/information"
"EmailItem","20copyright@pornhub.com","https://www.thumbzilla.com/information"
"EmailItem","copyright@pornhub.com","https://www.thumbzilla.com/information"
"EmailItem","atip@cbc.ca","http://www.cbc.ca/aboutcbc/discover/privacy.html"
"EmailItem","privacy@disqus.com","https://help.disqus.com/terms-and-policies/disqus-privacy-policy"
"EmailItem","privacy@disqus.com","https://help.disqus.com/terms-and-policies/disqus-privacy-policy"
"EmailItem","fraud@ancestry.com","https://www.ancestry.com/cs/privacyphilosophy"
"EmailItem","messageboards@rootsweb.com","https://www.ancestry.com/cs/privacyphilosophy"
"EmailItem","support@brazzers.com","https://www.brazzers.com/legal/privacy"
"EmailItem","privacy@brazzers.com","https://www.brazzers.com/legal/privacy"
"EmailItem","admin@pastebin.com","https://pastebin.com/doc_privacy_statement"
"EmailItem","privacy@exponential.com","https://pastebin.com/doc_privacy_statement"
"EmailItem","hanne.skartveit@vg.no","https://static.vg.no/privacy/"
"EmailItem","jane.throndsen@vg.no","https://static.vg.no/privacy/"
"EmailItem","2200@vg.no","https://static.vg.no/privacy/"
"EmailItem","gard.steiro@vg.no","https://static.vg.no/privacy/"
"EmailItem","personvern@vg.no","https://static.vg.no/privacy/"
"EmailItem","torry.pedersen@vg.no","https://static.vg.no/privacy/"
"EmailItem","info@tonec.com","http://internetdownloadmanager.com/support/privacy.html"
"EmailItem","support@tonec.com","http://internetdownloadmanager.com/support/privacy.html"
"EmailItem","support@aastocks.com","http://aastocks.com/tc/stocks/aboutus/privacy.aspx"
"EmailItem","your.privacy@study.com","https://study.com/pages/privacy_policy.html"
"EmailItem","toyour.privacy@study.com","https://study.com/pages/privacy_policy.html"
"EmailItem","your.privacy@study.com","https://study.com/pages/privacy_policy.html"
"EmailItem","privacy@jimdo.com","https://www.jimdo.com/info/privacy/"
"EmailItem","privacy@jimdo.com","https://www.jimdo.com/info/privacy/"
"EmailItem","support@zuora.com","https://www.jimdo.com/info/privacy/"
